date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2011-01-10,0.76488,30.354,1.5688,6.8766,2.0510406861206985,0.051683468406140874,0.22813599744059565
2011-01-17,0.74427,29.928,1.5552,7.0022,2.089564271030674,0.05196471531676022,0.22210162520350746
2011-01-24,0.73233,29.747,1.5769,7.0828,2.1532642387994483,0.05301038760211114,0.22263793979782007
2011-01-31,0.7286,29.517,1.5926,7.1977,2.1858358495745263,0.05395534776569435,0.22126512635980938
2011-02-07,0.73567,29.331,1.5874,7.2657,2.15776095260103,0.0541202141079404,0.2184786049520349
2011-02-14,0.73915,29.279,1.5861,7.2549,2.1458431982682815,0.0541719321015062,0.21862465368233883
2011-02-21,0.72886,29.136,1.595,7.0856,2.188348928463628,0.05474327292696321,0.22510443716834141
2011-02-28,0.72176,28.487,1.6057,6.9319,2.224700731545112,0.05636606171236003,0.23163923311069115
2011-03-07,0.71999,28.402,1.5895,6.8964,2.2076695509659854,0.05596436870642912,0.23048257061655356
2011-03-14,0.71515,28.639,1.5829,7.005,2.213381808012305,0.055270784594434165,0.22596716630977873
2011-03-21,0.70636,28.295,1.5627,6.9117,2.212327991392491,0.05522883901749425,0.2260948825903902
2011-03-28,0.70887,28.424,1.5522,6.8283,2.189682170214567,0.05460878131156769,0.22731865910988094
2011-04-04,0.70038,28.231,1.5212,6.6906,2.1719637910848397,0.0538840281959548,0.22736376408692796
2011-04-11,0.69204,28.143,1.5169,6.7711,2.1919253222357087,0.05389972639732793,0.22402563837485784
2011-04-18,0.69353,28.168,1.5237,6.81,2.197021037301919,0.05409329735870492,0.2237444933920705
2011-04-25,0.67866,27.606,1.5216,6.6442,2.242065246220493,0.055118452510323844,0.2290117696637669
2011-05-02,0.67737,27.414,1.5359,6.6682,2.2674461520291715,0.05602611804187641,0.23033202363456406
2011-05-09,0.69886,27.825,1.5693,6.8305,2.2455141230003144,0.05639892183288409,0.2297489202840202
2011-05-16,0.70378,28.082,1.5841,6.9439,2.2508454346528746,0.056409799871804,0.2281282852575642
2011-05-23,0.70811,28.32,1.6037,7.0016,2.264761124684018,0.05662782485875706,0.2290476462522852
2011-05-30,0.6943,27.962,1.5913,6.813,2.2919487253348696,0.05690937701165868,0.23356817848231323
2011-06-06,0.68535,27.774,1.5819,6.7492,2.3081637119719853,0.056956146035860876,0.23438333432110472
2011-06-13,0.69979,28.032,1.5938,6.8116,2.2775404049786365,0.0568564497716895,0.2339832051206765
2011-06-20,0.69994,28.092,1.6197,6.8072,2.3140554904706114,0.057656984194788555,0.23793924080385473
2011-06-27,0.69609,28.075,1.6327,6.8402,2.3455300320360872,0.05815494211932325,0.23869185111546445
2011-07-04,0.69667,27.941,1.6279,6.7325,2.3366873842708884,0.058262052181382196,0.24179725213516523
2011-07-11,0.70972,28.188,1.649,6.8774,2.323451502000789,0.05850007095217823,0.2397708436327682
2011-07-18,0.70398,27.973,1.6689,6.8909,2.370663939316458,0.059661101776713264,0.2421889738640816
2011-07-25,0.69623,27.617,1.6964,6.7099,2.4365511397095787,0.06142593330195169,0.2528204593213013
2011-08-01,0.70156,27.905,1.7077,6.7932,2.4341467586521466,0.061196918115033146,0.25138373667785435
2011-08-08,0.70175,29.309,1.7666,7.1703,2.517420733879587,0.06027500085298031,0.2463774179601969
2011-08-15,0.69541,28.925,1.7771,7.1599,2.5554708732977667,0.06143820224719101,0.24820179052780064
2011-08-22,0.69314,28.938,1.7729,7.1994,2.557780534956863,0.061265464095652776,0.24625663249715254
2011-08-29,0.6956,28.969,1.7331,7.0395,2.4915181138585396,0.05982602091891332,0.24619646281696142
2011-09-05,0.71306,29.589,1.7665,7.1597,2.477351134546882,0.05970124032579675,0.2467282148693381
2011-09-12,0.72902,30.383,1.7812,7.3682,2.443280019752544,0.05862488891814501,0.24174153796042452
2011-09-19,0.73676,31.681,1.8142,7.9715,2.4624029534719583,0.05726460654651053,0.22758577432101865
2011-09-26,0.73714,32.05,1.8516,7.9426,2.511870201047291,0.057772230889235575,0.23312265504998364
2011-10-03,0.75131,32.536,1.8683,8.1095,2.486723190161185,0.05742254733218589,0.23038411739318082
2011-10-10,0.72993,31.327,1.8358,7.8745,2.515035688353678,0.05860120662687139,0.2331322623658645
2011-10-17,0.72585,31.12,1.8572,8.0398,2.558655369566715,0.059678663239074545,0.2310007711634618
2011-10-24,0.71531,30.374,1.7783,7.88,2.4860549971341097,0.05854678343319945,0.2256725888324873
2011-10-31,0.7248,30.548,1.7693,7.9361,2.441087196467991,0.05791868534764961,0.2229432592835272
2011-11-07,0.73067,30.449,1.7826,7.9645,2.439678651101044,0.05854379454169266,0.22381819323246907
2011-11-14,0.73823,30.729,1.803,8.1316,2.4423282716768484,0.058674216538123596,0.22172758128781542
2011-11-21,0.74649,31.299,1.8619,8.4415,2.4942062184356124,0.05948752356305314,0.22056506545045315
2011-11-28,0.7451,31.007,1.8391,8.2005,2.4682592940544894,0.059312413326023154,0.22426681299920737
2011-12-05,0.74621,31.263,1.8357,8.0872,2.4600313584647755,0.05871797332309759,0.2269883272331586
